ประทับเวลา,"ส่วนที่ 1: สถานการณ์ทริปไป-กลับวันเดียว (Day Trip)

1. สมมติว่าคุณมีเวลาเที่ยวแค่ไป-กลับ คุณตั้งงบประมาณไว้ที่เท่าไหร่? (ต่อ 1 ท่าน)",2. คุณมีเวลาสำหรับการท่องเที่ยวในทริปนี้กี่ชั่วโมง?,3. สไตล์หรืออารมณ์ของทริป 1 วันนี้ ที่คุณต้องการคือแบบไหน? (Trip Mood),4. หมวดหมู่สถานที่ท่องเที่ยวที่คุณสนใจที่สุดในทริปนี้คืออะไร?,5. จากงบประมาณและสไตล์ที่เลือก คุณจะเลือกไปสถานที่ใดในสุราษฎร์ธานี? (สำหรับไป-กลับ),1. สำหรับทริปค้างคืนนี้ คุณตั้งงบประมาณไว้ที่เท่าไหร่? (ต่อ 1 ท่าน),2. คุณมีเวลาสำหรับการท่องเที่ยวค้างคืนนี้กี่ชั่วโมง?,3. สไตล์หรืออารมณ์ของทริปค้างคืนนี้ ที่คุณต้องการคือแบบไหน? (Trip Mood),4. หมวดหมู่สถานที่ท่องเที่ยวที่คุณสนใจที่สุดในทริปนี้คืออะไร?,5. จากงบและสไตล์ที่เลือก คุณจะเลือกไปสถานที่ใดในสุราษฎร์ธานี? (สำหรับค้างคืน)
"19/8/2026, 2:25:02",1000,6,🌿 เน้นพักผ่อน / ชิลๆ (Chill),ธรรมชาติและภูเขา,ป่าต้นน้ำ,5000,48,🌿 เน้นพักผ่อน / ชิลๆ (Chill),ทะเลและหมู่เกาะ,เกาะพะงัน
"19/8/2026, 3:05:26",1500,12,🌿 เน้นพักผ่อน / ชิลๆ (Chill),ธรรมชาติและภูเขา,ป่าต้นน้ำ บ้านน้ำราด,5000,72,⛰️ เน้นลุยๆ / ผจญภัย (Adventure),ทะเลและหมู่เกาะ,เกาะสมุย
"19/8/2026, 6:31:24",3000,6,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛩️ เน้นเรียนรู้วัฒนธรรม / ประวัติศาสตร์ (Culture), 📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social)","ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา, วัดและวัฒนธรรม, วิถีชีวิตชุมชน, คาเฟ่, ร้านอาหาร",วัดพระบรมธาตุไชยา,5000,48,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛰️ เน้นลุยๆ / ผจญภัย (Adventure), ⛩️ เน้นเรียนรู้วัฒนธรรม / ประวัติศาสตร์ (Culture)","ธรรมชาติและภูเขา, วัดและวัฒนธรรม, ร้านอาหารพื้นบ้าน",เขาสก
"19/8/2026, 8:35:32",1000,8,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛰️ เน้นลุยๆ / ผจญภัย (Adventure)","ทะเลและหมู่เกาะ, วัดและวัฒนธรรม, วิถีชีวิตชุมชน",บ้านน้ำราด,10000,72,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛰️ เน้นลุยๆ / ผจญภัย (Adventure)","ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา, วิถีชีวิตชุมชน",เกาะสมุย
"19/8/2026, 9:02:34",1500,6,🌿 เน้นพักผ่อน / ชิลๆ (Chill),ทะเลและหมู่เกาะ,เกาะสมุย,10000,48,🌿 เน้นพักผ่อน / ชิลๆ (Chill),ทะเลและหมู่เกาะ,เกาะพงัน
"19/8/2026, 10:02:46",1500,8,📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social),ทะเลและหมู่เกาะ,บ้านน้ำราด,10000,48,🌿 เน้นพักผ่อน / ชิลๆ (Chill),ทะเลและหมู่เกาะ,เกาะสมุย
"19/8/2026, 12:00:50",1000,6,⛩️ เน้นเรียนรู้วัฒนธรรม / ประวัติศาสตร์ (Culture),วิถีชีวิตชุมชน,ป่าต้นน้ำ วัดพระธาตุ,2000,48,⛩️ เน้นเรียนรู้วัฒนธรรม / ประวัติศาสตร์ (Culture),"ธรรมชาติและภูเขา, วัดและวัฒนธรรม",เขื่อน
"19/8/2026, 12:07:20",1000,6,⛩️ เน้นเรียนรู้วัฒนธรรม / ประวัติศาสตร์ (Culture),วิถีชีวิตชุมชน,ป่าต้นน้ำ บ้านน้ำราด,5000,72,⛩️ เน้นเรียนรู้วัฒนธรรม / ประวัติศาสตร์ (Culture),"ทะเลและหมู่เกาะ, วิถีชีวิตชุมชน",เกาะสมุย
"19/8/2026, 12:59:34",1000,8,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛰️ เน้นลุยๆ / ผจญภัย (Adventure), ⛩️ เน้นเรียนรู้วัฒนธรรม / ประวัติศาสตร์ (Culture), 📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social)","ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา, วัดและวัฒนธรรม, วิถีชีวิตชุมชน, คาเฟ่, ร้านอาหาร",เชื่อนเชี่ยวหลาน วัดพระบรมธาตุไชยา บ้านน้ำราด,1000,48,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), 📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social)",ทะเลและหมู่เกาะ,เกาะสมุย
"19/8/2026, 13:45:18",1000,12,📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social),"วัดและวัฒนธรรม, คาเฟ่, ร้านอาหาร",บ้านกลางเมือง,5000,48,🌿 เน้นพักผ่อน / ชิลๆ (Chill),ทะเลและหมู่เกาะ,เกาะสมุย
"19/8/2026, 16:38:44",2000,10,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), 📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social)","ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา, วัดและวัฒนธรรม, วิถีชีวิตชุมชน, คาเฟ่",ป่าต้นน้ำบ้านน้ำราด,5000,48,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛰️ เน้นลุยๆ / ผจญภัย (Adventure)","ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา, วิถีชีวิตชุมชน",อุทยานแห่งชาติเขาสก
"19/8/2026, 17:28:03",1000,6,🌿 เน้นพักผ่อน / ชิลๆ (Chill),"ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา",บ้านน้ำราด,3000,48,🌿 เน้นพักผ่อน / ชิลๆ (Chill),ธรรมชาติและภูเขา,เกาะสมุย
"19/8/2026, 20:55:55",1500,12,🌿 เน้นพักผ่อน / ชิลๆ (Chill),"ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา",ป่าต้นน่ำ,5000,48,🌿 เน้นพักผ่อน / ชิลๆ (Chill),"ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา",เกาะสมุย
"19/8/2026, 20:57:34",1500,24,🌿 เน้นพักผ่อน / ชิลๆ (Chill),ทะเลและหมู่เกาะ,วัดพระบรมธาตุไชยา ,5000,72,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), 📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social)","ทะเลและหมู่เกาะ, คาเฟ่, ร้านอาหารพื้นบ้าน",-
"19/8/2026, 20:58:18",2000,24,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), 📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social)","ทะเลและหมู่เกาะ, คาเฟ่",-,10000,72,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), 📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social)","ทะเลและหมู่เกาะ, คาเฟ่, ร้านอาหารพื้นบ้าน",-
"19/8/2026, 20:59:08",3000,72,📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social),"ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา, วิถีชีวิตชุมชน",-,10000,72,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛩️ เน้นเรียนรู้วัฒนธรรม / ประวัติศาสตร์ (Culture), 📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social)","วัดและวัฒนธรรม, วิถีชีวิตชุมชน, คาเฟ่, ร้านอาหารพื้นบ้าน",-
"19/8/2026, 21:00:00",1000,8,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛰️ เน้นลุยๆ / ผจญภัย (Adventure), ⛩️ เน้นเรียนรู้วัฒนธรรม / ประวัติศาสตร์ (Culture), 📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social)","ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา, วัดและวัฒนธรรม, วิถีชีวิตชุมชน, คาเฟ่, ร้านอาหาร",ป่าต้นน่ำ,10000,72,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛰️ เน้นลุยๆ / ผจญภัย (Adventure), ⛩️ เน้นเรียนรู้วัฒนธรรม / ประวัติศาสตร์ (Culture), 📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social)","ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา, วัดและวัฒนธรรม, วิถีชีวิตชุมชน, คาเฟ่, ร้านอาหารพื้นบ้าน",-
"19/8/2026, 21:01:09",1000,6,🌿 เน้นพักผ่อน / ชิลๆ (Chill),ทะเลและหมู่เกาะ,ป่าต้นนํ้า,5000,96,🌿 เน้นพักผ่อน / ชิลๆ (Chill),"ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา",เกาะสมุย
"19/8/2026, 21:03:08",1500,8,🌿 เน้นพักผ่อน / ชิลๆ (Chill),ทะเลและหมู่เกาะ,ป่าต้นน้ำ บ้านน้ำราด,3000,48,🌿 เน้นพักผ่อน / ชิลๆ (Chill),ทะเลและหมู่เกาะ,เกาะสมุย
"19/8/2026, 21:04:49",1500,6,🌿 เน้นพักผ่อน / ชิลๆ (Chill),ทะเลและหมู่เกาะ,ป่าต้นน้ำ บ้านน้ำราด,3000,48,🌿 เน้นพักผ่อน / ชิลๆ (Chill),ทะเลและหมู่เกาะ,เกาะสมุย
"19/8/2026, 21:05:43",1500,6,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛩️ เน้นเรียนรู้วัฒนธรรม / ประวัติศาสตร์ (Culture)",ทะเลและหมู่เกาะ,ป่าต้นน้ำ บ้านน้ำราด,3000,48,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛩️ เน้นเรียนรู้วัฒนธรรม / ประวัติศาสตร์ (Culture)",ทะเลและหมู่เกาะ,เกาะสมุย
"19/8/2026, 21:06:41",1500,6,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛩️ เน้นเรียนรู้วัฒนธรรม / ประวัติศาสตร์ (Culture)",ทะเลและหมู่เกาะ,ป่าต้นน้ำ บ้านน้ำราด,3000,48,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛩️ เน้นเรียนรู้วัฒนธรรม / ประวัติศาสตร์ (Culture)",ทะเลและหมู่เกาะ,เกาะสมุย
"19/8/2026, 21:07:43",1500,8,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛩️ เน้นเรียนรู้วัฒนธรรม / ประวัติศาสตร์ (Culture)",ทะเลและหมู่เกาะ,ป่าต้นน้ำ บ้านน้ำราด,5000,48,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛩️ เน้นเรียนรู้วัฒนธรรม / ประวัติศาสตร์ (Culture)",ทะเลและหมู่เกาะ,เกาะสมุย
"19/8/2026, 21:09:07",1000,8,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛰️ เน้นลุยๆ / ผจญภัย (Adventure)","ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา",ป่าต้นน้ำ ทะเล ,3000,48,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛰️ เน้นลุยๆ / ผจญภัย (Adventure)","ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา",เกาะพะงัน
"19/8/2026, 21:17:36",1500,12,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛩️ เน้นเรียนรู้วัฒนธรรม / ประวัติศาสตร์ (Culture)","ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา, ร้านอาหาร",ป่าต้นน้ำ,3000,48,🌿 เน้นพักผ่อน / ชิลๆ (Chill),ทะเลและหมู่เกาะ,เกาะ
"19/8/2026, 21:33:12",1500,4,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛰️ เน้นลุยๆ / ผจญภัย (Adventure), 📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social)","ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา, คาเฟ่, ร้านอาหาร",ลำภูคาเฟ่,5000,72,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛰️ เน้นลุยๆ / ผจญภัย (Adventure), 📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social)","ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา, คาเฟ่",เกาะพงัน
"19/8/2026, 21:35:39",1500,12,🌿 เน้นพักผ่อน / ชิลๆ (Chill),"ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา",เขาสก,5000,48,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), 📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social)","ธรรมชาติและภูเขา, วิถีชีวิตชุมชน",เกาะพะงัน
"19/8/2026, 21:36:45",1500,12,🌿 เน้นพักผ่อน / ชิลๆ (Chill),ธรรมชาติและภูเขา,พุมเรียง,3000,48,🌿 เน้นพักผ่อน / ชิลๆ (Chill),"ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา",พุมเรียง
"19/8/2026, 21:37:05",1000,6,🌿 เน้นพักผ่อน / ชิลๆ (Chill),ธรรมชาติและภูเขา,เขาศก,3000,48,🌿 เน้นพักผ่อน / ชิลๆ (Chill),ธรรมชาติและภูเขา,เขื่อนรัชชประภา
"19/8/2026, 21:42:15",2000,10,🌿 เน้นพักผ่อน / ชิลๆ (Chill),ทะเลและหมู่เกาะ,เกาะเต่า,4000,48,🌿 เน้นพักผ่อน / ชิลๆ (Chill),ทะเลและหมู่เกาะ,เกาะเต่า
"19/8/2026, 21:46:47",2000,8,🌿 เน้นพักผ่อน / ชิลๆ (Chill),"ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา, วิถีชีวิตชุมชน",เขื่อนรัชชประภา,6000,48,🌿 เน้นพักผ่อน / ชิลๆ (Chill),"ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา, วิถีชีวิตชุมชน",เกาะสมุย
"19/8/2026, 21:47:48",1000,12,🌿 เน้นพักผ่อน / ชิลๆ (Chill),"ธรรมชาติและภูเขา, วิถีชีวิตชุมชน",เขาสก,1500,48,🌿 เน้นพักผ่อน / ชิลๆ (Chill),"ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา",เขาสก
"19/8/2026, 21:49:01",1500,12,🌿 เน้นพักผ่อน / ชิลๆ (Chill),ธรรมชาติและภูเขา,เขื่อนเชี่ยวหลาน,10000,72,🌿 เน้นพักผ่อน / ชิลๆ (Chill),ธรรมชาติและภูเขา,เขื่อนรัชชประภา
"19/8/2026, 21:50:46",2000,8,🌿 เน้นพักผ่อน / ชิลๆ (Chill),ธรรมชาติและภูเขา,เขื่อนรัชชประภา,8000,48,🌿 เน้นพักผ่อน / ชิลๆ (Chill),ทะเลและหมู่เกาะ,เกาะพะงัน
"19/8/2026, 21:51:26",50000,12,🌿 เน้นพักผ่อน / ชิลๆ (Chill),ทะเลและหมู่เกาะ,เกาะสมุย,10000,72,🌿 เน้นพักผ่อน / ชิลๆ (Chill),ทะเลและหมู่เกาะ,เกาะสมุย
"19/8/2026, 21:52:26",1500,8,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), 📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social)","ธรรมชาติและภูเขา, คาเฟ่, ร้านอาหาร",คาเฟ่  ป่าต้นน้ำ สถานที่ที่เล่นน้ำได้,3000,48,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), 📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social)","ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา, คาเฟ่, ร้านอาหารพื้นบ้าน",เกาะสมุย  เขื่อนรัชประภา
"19/8/2026, 21:53:41",20000,24,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛰️ เน้นลุยๆ / ผจญภัย (Adventure)","ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา, วัดและวัฒนธรรม",อุทยานแห่งชาติเขาสก,20000,72,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛰️ เน้นลุยๆ / ผจญภัย (Adventure)","ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา, วัดและวัฒนธรรม",เกาะสมุย
"19/8/2026, 21:55:08",3000,6,🌿 เน้นพักผ่อน / ชิลๆ (Chill),ธรรมชาติและภูเขา,เขื่อนรัชประภา,5000,48,🌿 เน้นพักผ่อน / ชิลๆ (Chill),ทะเลและหมู่เกาะ,เกาะสมุย
"19/8/2026, 21:58:28",500,8,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛰️ เน้นลุยๆ / ผจญภัย (Adventure), 📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social)","ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา",ป่าต้นน้ำ,3000,48,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛰️ เน้นลุยๆ / ผจญภัย (Adventure)","ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา, คาเฟ่, ร้านอาหารพื้นบ้าน",เขื่อนรัชประภา
"19/8/2026, 21:59:08",150010,10,📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social),ธรรมชาติและภูเขา,เขื่อนรัชชประภา,3000,48,🌿 เน้นพักผ่อน / ชิลๆ (Chill),ธรรมชาติและภูเขา,เขื่อนรัชชประภา
"19/8/2026, 21:59:26",1000,8,⛰️ เน้นลุยๆ / ผจญภัย (Adventure),ธรรมชาติและภูเขา,น้ำตกบางหัวแรด ,6500,72,🌿 เน้นพักผ่อน / ชิลๆ (Chill),ทะเลและหมู่เกาะ,เกาะสมุย
"19/8/2026, 22:00:37",1000,8,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), 📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social)","ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา",ป่าต้นน้ำ,3000,48,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), 📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social)","ทะเลและหมู่เกาะ, คาเฟ่",เกาะสมุย
"19/8/2026, 22:02:07",500,8,📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social),คาเฟ่,Backyard Cafe ,3000,72,🌿 เน้นพักผ่อน / ชิลๆ (Chill),"ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา",เกาะสมุย
"19/8/2026, 22:02:34",4000,10,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛰️ เน้นลุยๆ / ผจญภัย (Adventure)","ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา","เขาสก , เกาะสมุย",6000,48,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛰️ เน้นลุยๆ / ผจญภัย (Adventure)","ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา, วิถีชีวิตชุมชน, ร้านอาหารพื้นบ้าน","เกาะสมุย , เขาสก , เกาะพะงัน , เขื่อนรัชชประภา"
"19/8/2026, 22:05:31",2500,8,📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social),"วิถีชีวิตชุมชน, คาเฟ่, ร้านอาหาร",ตลาดศาลเจ้า,15000,48,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), 📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social)","วิถีชีวิตชุมชน, คาเฟ่, ร้านอาหารพื้นบ้าน",เขื่อนรัชชประภา
"19/8/2026, 22:06:59",1500,4,🌿 เน้นพักผ่อน / ชิลๆ (Chill),ธรรมชาติและภูเขา,ป่าต้นนํ้า,10000,48,🌿 เน้นพักผ่อน / ชิลๆ (Chill),ธรรมชาติและภูเขา,เขื่อน
"19/8/2026, 22:07:58",1500,8,🌿 เน้นพักผ่อน / ชิลๆ (Chill),ธรรมชาติและภูเขา,ล่องแก่งเขาสก,5000,72,⛰️ เน้นลุยๆ / ผจญภัย (Adventure),วิถีชีวิตชุมชน,ล่องแก่งเขาสก
"19/8/2026, 22:08:53",500,6,🌿 เน้นพักผ่อน / ชิลๆ (Chill),ธรรมชาติและภูเขา,เขาสก,3000,48,🌿 เน้นพักผ่อน / ชิลๆ (Chill),ธรรมชาติและภูเขา,เขาสก
