id,name,tag,image,vr_image,location,travelTime,description,lat,lng
37,ตลาดนัดเซฟเซ็นเตอร์,ร้านอาหาร,/images/safe_center.jpg,/vr_images/safe_center_360.jpg,อ.เมือง,10 นาที,แหล่งรวมสตรีทฟู้ดและเสื้อราคาสบายกระเป๋าของวัยรุ่นสุราษฎร์,9.1231,99.3455
38,ร้านโกpi (โกปี๊โบราณ),คาเฟ่,/images/gopi.jpg,/vr_images/gopi_360.jpg,อ.เมือง,10 นาที,ร้านกาแฟโบราณและติ่มซำยามเช้า ขวัญใจคนสุราษฎร์,9.1399,99.3315
39,สวนลุงไกร (ทุเรียนพันธุ์โบราณ),ชุมชน,/images/lung_krai.jpg,/vr_images/lung_krai_360.jpg,อ.เวียงสระ,1 ชั่วโมง,เรียนรู้เกษตรอินทรีย์ ชิมผลไม้ขึ้นชื่อของเวียงสระ,8.6412,99.3512
40,น้ำตกวังสระ,ธรรมชาติ,/images/wangsra.jpg,/vr_images/wangsra_360.jpg,อ.เวียงสระ,1 ชั่วโมง 10 นาที,แหล่งน้ำธรรมชาติและจุดเล่นน้ำคลายร้อนของคนท้องถิ่น,8.6512,99.3611
41,หาดนางยวน เกาะเต่า,ทะเล,/images/nangyuan.jpg,/vr_images/nangyuan_360.jpg,อ.เกาะพะงัน,2 ชั่วโมง 30 นาที,เกาะสวรรค์สามเกาะเชื่อมด้วยสันทรายขาวละเอียด,10.1221,99.8211
42,อุทยานแห่งชาติหมู่เกาะอ่างทอง,ทะเล,/images/angthong.jpg,/vr_images/angthong_360.jpg,อ.เกาะสมุย,2 ชั่วโมง (สปีดโบ๊ท),หมู่เกาะสวรรค์ ทะเลสาบสีมรกต,9.6264,99.6744
43,เกาะสมุย (หาดเฉวง),ทะเล,/images/samui.jpg,/vr_images/samui_360.jpg,อ.เกาะสมุย,1 ชั่วโมง 30 นาที (ท่าเรือ),หาดทรายขาวละเอียด แหล่งรวมความคึกคัก,9.5303,100.0664
44,หาดบ่อผุด เกาะสมุย,ทะเล,/images/bophut.jpg,/vr_images/bophut_360.jpg,อ.เกาะสมุย,1 ชั่วโมง 30 นาที,หมู่บ้านชาวประมงและถนนคนเดินสุดคลาสสิกบนเกาะสมุย,9.5602,100.0315
45,หินตาหินยาย เกาะสมุย,ธรรมชาติ,/images/hin_ta_hin_yai.jpg,/vr_images/hin_ta_hin_yai_360.jpg,อ.เกาะสมุย,1 ชั่วโมง 40 นาที,ประติมากรรมธรรมชาติริมทะเลอันลือชื่อของเกาะสมุย,9.4623,100.0521
46,วัดพระใหญ่ เกาะสมุย,วัด,/images/big_buddha.jpg,/vr_images/big_buddha_360.jpg,อ.เกาะสมุย,1 ชั่วโมง 25 นาที,ประดิษฐานพระพุทธรูปองค์ใหญ่ริมทะเล เกาะฟาน,9.5701,100.0637
47,น้ำตกหน้าเมือง เกาะสมุย,ธรรมชาติ,/images/namuang.jpg,/vr_images/namuang_360.jpg,อ.เกาะสมุย,1 ชั่วโมง 35 นาที,น้ำตกกลางป่าธรรมชาติบนเกาะสมุย เล่นน้ำได้สดชื่น,9.4795,100.0012
48,พระบรมธาตุไชยา,วัด,/images/chaiya.jpg,/vr_images/chaiya_360.jpg,อ.ไชยา,45 นาที,ปูชนียสถานคู่บ้านคู่เมือง สถาปัตยกรรมศรีวิชัย,9.3831,99.1824
49,สวนโมกขพลาราม (วัดธารน้ำไหล),วัด,/images/suanmok.jpg,/vr_images/suanmok_360.jpg,อ.ไชยา,50 นาที,สถานปฏิบัติธรรมอันเงียบสงบ,9.3622,99.1765
50,แหลมโพธิ์ หาดพุมเรียง,ทะเล,/images/phumriang.jpg,/vr_images/phumriang_360.jpg,อ.ไชยา,1 ชั่วโมง,ชายหาดสงบเงียบ แหล่งอาหารทะเลสดและผ้าไหมพุมเรียง,9.4215,99.2559
52,หอนาฬิกาสุราษฎร์ธานี,ชุมชน,/images/clocktower.jpg,/vr_images/clocktower.jpg,อ.เมือง,10 นาที,แลนด์มาร์คสำคัญใจกลางเมืองสุราษฎร์ธานี ถ่ายรูปสวยงามยามค่ำคืน,9.14502980232248,99.32343623446955
